name_of_drug,use_case_for_drug,effectiveness_rating,number_of_times_prescribed,positive,negative,neutral,compound,base_score
Ethinyl estradiol / norgestimate,Birth Control,10,4,0.227,0.074,0.699,0.8915,8.358950719271757
Femara,"Breast Cancer, Adjuvant",10,39,0.195,0.178,0.627,0.7348,7.19431641656822
Skyla,Birth Control,8,3,0.053,0.1,0.847,-0.6908,7.927925645495847
Cephalexin,Bacterial Infection,5,22,0.0,0.45,0.55,-0.8922,7.403949990077454
Testosterone,"Hypogonadism, Male",10,21,0.295,0.019,0.685,0.957,8.233307958262657
Ethinyl estradiol / levonorgestrel,Birth Control,3,5,0.031,0.091,0.877,-0.6634,7.408418703059745
Benzonatate,Cough,1,1,0.091,0.076,0.834,-0.4885,4.319273404069607
NuvaRing,Birth Control,5,10,0.083,0.101,0.816,0.1984,7.181786620054445
Humira,Rheumatoid Arthritis,1,49,0.035,0.123,0.842,-0.9124,4.8496914913090095
Diclofenac,Pain,1,23,0.072,0.204,0.723,-0.9412,6.358347107570019
Necon 1 / 35,Birth Control,2,16,0.033,0.049,0.918,-0.1531,8.27178354634054
Seroquel XR,Bipolar Disorde,9,2,0.118,0.104,0.777,0.296,8.174543577159849
Detrol LA,Urinary Incontinence,10,39,0.0,0.576,0.424,-0.8459,7.19431641656822
Suprep Bowel Prep Kit,Bowel Preparation,8,23,0.11,0.0,0.89,0.8715,7.331694342495978
Neurontin,Pain,9,69,0.15,0.249,0.601,-0.6808,6.238341446959742
Cipro,Bladder Infection,2,70,0.024,0.155,0.821,-0.8271,6.0144079487855855
Viibryd,Depression,8,15,0.063,0.055,0.883,-0.2782,7.633383658619352
Gardasil,Human Papillomavirus Prophylaxis,10,13,0.182,0.041,0.777,0.8671,6.256623555456827
Sprintec,Birth Control,1,3,0.082,0.122,0.797,-0.7506,7.0500866311617765
Linaclotide,"Constipation, Chronic",10,38,0.072,0.148,0.78,-0.8403,6.181254371017418
Detrol LA,Overactive Bladde,4,23,0.0,0.138,0.862,-0.3724,8.0322847449064
Hypercare,Hyperhidrosis,10,13,0.102,0.11,0.787,0.1027,6.256623555456827
Penicillin v potassium,Bacterial Infection,9,2,0.09,0.2,0.71,-0.8505,8.174543577159849
Dulcolax,Constipation,2,5,0.051,0.069,0.88,-0.1531,6.577285637571317
Rythmol SR,Atrial Fibrillation,7,42,0.13,0.083,0.787,0.4018,5.743254707736832
Dapsone,Acne,10,39,0.089,0.049,0.862,0.461,7.19431641656822
Paliperidone,Schizophrenia,2,5,0.079,0.178,0.743,-0.9409,6.577285637571317
Metronidazole,Bacterial Infection,10,3,0.139,0.165,0.696,-0.2732,8.745991303284766
Copper,Birth Control,9,12,0.175,0.165,0.66,-0.2552,6.471278979163006
Pseudoephedrine / triprolidine,Cold Symptoms,9,7,0.35,0.0,0.65,0.796,6.607445106972985
Depo-Provera,Birth Control,10,2,0.068,0.035,0.896,0.5399,8.074493292790843
Metronidazole,Bacterial Infection,10,13,0.069,0.129,0.802,-0.5967,6.256623555456827
Levetiracetam,Seizures,5,32,0.046,0.076,0.878,-0.2997,4.228096268164698
Phentermine,Weight Loss,9,20,0.094,0.135,0.771,-0.5106,7.106682637574135
Pristiq,Depression,8,15,0.06,0.106,0.834,-0.3578,7.633383658619352
Ammonium lactate,Dry Skin,10,62,0.256,0.0,0.744,0.7351,6.6143736161185185
Dulcolax,Constipation,3,5,0.065,0.213,0.722,-0.9517,7.408418703059745
Zyvox,Methicillin-Resistant Staphylococcus Aureus Infection,9,34,0.062,0.225,0.713,-0.8887,8.682416473696875
Trazodone,Insomnia,1,13,0.04,0.141,0.819,-0.672,3.3477247532480425
Buprenorphine / naloxone,Opiate Dependence,10,32,0.036,0.131,0.832,-0.9242,6.370760113378997
Bupropion / naltrexone,Obesity,7,12,0.063,0.118,0.82,-0.5348,2.8489295685288183
Tadalafil,Erectile Dysfunction,9,75,0.113,0.064,0.824,0.5255,6.35100207456445
Flecainide,Atrial Fibrillation,9,27,0.117,0.039,0.844,0.8261,8.022968937262847
Junel Fe 1.5 / 30,Birth Control,4,1,0.108,0.042,0.85,0.6725,6.545569929609518
Effexor,Bipolar Disorde,10,21,0.804,0.0,0.196,0.6249,8.233307958262657
Secobarbital,Insomnia,10,53,0.074,0.154,0.771,-0.7717,8.664924230348454
Pristiq,Depression,10,35,0.032,0.361,0.606,-0.945,8.648336695522234
Bupropion,Depression,2,40,0.0,0.147,0.853,-0.796,7.907556528480552
Topiramate,Migraine Prevention,9,42,0.068,0.069,0.863,0.2186,8.154949057424771
Citalopram,Depression,10,17,0.142,0.09,0.768,0.8425,7.900790082378434
Zoloft,Panic Disorde,9,62,0.068,0.226,0.705,-0.9708,6.726812515027324
Suprep Bowel Prep Kit,Bowel Preparation,8,10,0.058,0.101,0.842,-0.69,7.736175873181428
Ethinyl estradiol / norelgestromin,Birth Control,3,3,0.106,0.121,0.774,-0.0,8.981228211240314
Desogestrel / ethinyl estradiol,Birth Control,5,7,0.032,0.119,0.849,-0.4519,4.4152596781425215
Nifedipine,Raynaud's Syndrome,8,7,0.039,0.082,0.879,-0.5106,5.305232108701494
Clonazepam,Anxiety,10,20,0.149,0.101,0.749,0.8193,6.998161370910088
Klonopin,Panic Disorde,9,22,0.137,0.278,0.585,-0.9153,8.853339021798474
Bupropion / naltrexone,Weight Loss,9,16,0.128,0.139,0.733,0.1423,8.805914067059051
Decadron,Addison's Disease,8,0,0.271,0.0,0.729,0.3818,4.821588697606812
Oxazepam,Anxiety,10,32,0.084,0.077,0.839,0.1102,6.370760113378997
Ambien,Insomnia,9,16,0.071,0.246,0.683,-0.857,8.805914067059051
Ethinyl estradiol / norgestimate,Birth Control,1,4,0.03,0.144,0.826,-0.8117,6.548256302136768
Zoloft,Anxiety and Stress,7,12,0.073,0.227,0.701,-0.8782,2.8489295685288183
Hydroxyzine,Allergies,9,48,0.125,0.0,0.875,0.765,8.441439660216073
Stelara,Psoriasis,10,38,0.103,0.093,0.803,0.3016,6.181254371017418
Ezetimibe,High Cholesterol,2,12,0.142,0.227,0.631,-0.4854,5.648499094454326
Atomoxetine,ADHD,10,16,0.291,0.0,0.709,0.6249,8.709532579215772
Budesonide / formoterol,moterol),1,55,0.077,0.078,0.845,-0.2732,5.4008517281168364
Ethinyl estradiol / norethindrone,Menstrual Disorders,10,37,0.266,0.0,0.734,0.97,6.476183149656864
Ethinyl estradiol / norgestimate,Birth Control,1,2,0.123,0.109,0.767,0.3091,6.1693738810759235
Omalizumab,"Asthma, Maintenance",10,36,0.173,0.0,0.827,0.9555,7.715255946986692
Skyla,Birth Control,10,4,0.161,0.072,0.767,0.8971,8.358950719271757
Lunesta,Insomnia,10,6,0.0,0.248,0.752,-0.6474,6.1731344641759245
Apri,Birth Control,8,1,0.112,0.064,0.825,0.4228,5.691791949528471
Phentermine,Weight Loss,10,78,0.0,0.02,0.98,-0.0516,8.595958281819872
Bupropion,Depression,9,43,0.169,0.125,0.706,0.9136,6.8988396488861214
Loestrin 24 Fe,Acne,9,29,0.0,0.088,0.912,-0.4767,8.567052428841432
Kapidex,GERD,10,24,0.113,0.081,0.807,0.4404,6.975487703374523
Meloxicam,Inflammatory Conditions,8,94,0.097,0.134,0.769,-0.1646,4.884212210473586
Medroxyprogesterone,Birth Control,1,2,0.044,0.096,0.86,-0.8544,6.1693738810759235
Epiduo,Acne,9,36,0.114,0.064,0.822,0.7783,7.817778680932112
Moxifloxacin,"Conjunctivitis, Bacterial",10,3,0.084,0.164,0.753,-0.5848,8.745991303284766
Tinidazole,Bacterial Vaginitis,8,16,0.0,0.128,0.872,-0.296,7.887237930752728
Uribel,Urinary Tract Infection,6,56,0.127,0.123,0.75,0.0808,1.9376946881169843
Ondansetron,Nausea/Vomiting,9,13,0.101,0.025,0.874,0.6395,6.3732589822241685
Clonazepam,Insomnia,1,33,0.039,0.163,0.799,-0.9498,5.466945060053988
Suprep Bowel Prep Kit,Bowel Preparation,1,10,0.05,0.284,0.666,-0.8705,6.8294758571584
Pregabalin,Pain,10,27,0.045,0.121,0.834,-0.8666,7.921906947449914
Miconazole,Vaginal Yeast Infection,10,3,0.052,0.196,0.752,-0.7096,8.745991303284766
Implanon,Birth Control,6,0,0.068,0.066,0.866,0.3182,0.899075571349414
Oxybutynin,Overactive Bladde,9,33,0.187,0.082,0.73,0.765,7.671184512137573
Ethinyl estradiol / norgestimate,Birth Control,9,5,0.252,0.069,0.679,0.9829,7.277927183306573
Amoxicillin / clarithromycin / lansoprazole,Helicobacter Pylori Infection,1,1,0.051,0.0,0.949,0.6124,4.319273404069607
Victoza,Obesity,10,87,0.051,0.089,0.86,-0.3506,6.7669911423343585
Bupropion,Smoking Cessation,10,43,0.134,0.144,0.721,0.3637,6.788244820250587
Ethinyl estradiol / norethindrone,Birth Control,9,3,0.101,0.198,0.701,-0.9243,8.842186219376321
Metoclopramide,Migraine,10,6,0.07,0.084,0.846,-0.3366,6.1731344641759245
Naproxen,Rheumatoid Arthritis,10,105,0.158,0.151,0.692,0.1601,7.85806883449906
Prozac,Depression,8,44,0.0,0.232,0.768,-0.8007,4.821912068610578
Desvenlafaxine,Depression,3,13,0.203,0.134,0.663,0.7399,6.500749692956897
Budesonide / formoterol,moterol),5,15,0.11,0.075,0.815,0.0845,7.069598344199332
Clinpro 5000,Prevention of Dental Caries,10,3,0.253,0.0,0.747,0.9855,8.745991303284766
Ethinyl estradiol / norgestimate,Acne,10,38,0.154,0.0,0.846,0.872,6.181254371017418
Bupropion / naltrexone,Obesity,9,9,0.053,0.077,0.87,-0.1796,8.753452412523746
Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,8,15,0.143,0.08,0.777,0.741,7.633383658619352
Plan B,Emergency Contraception,8,56,0.093,0.124,0.783,-0.4258,5.115553823332516
Etonogestrel,Birth Control,8,4,0.019,0.098,0.883,-0.8248,7.493869596318778
Ethinyl estradiol / norgestimate,Abnormal Uterine Bleeding,1,0,0.092,0.131,0.778,-0.7144,3.054420106447377
Diltiazem,High Blood Pressure,9,39,0.103,0.018,0.879,0.7783,7.301039252524406
Levonorgestrel,Birth Control,6,13,0.134,0.029,0.836,0.9229,1.6328394295287592
Seroquel XR,Bipolar Disorde,9,13,0.078,0.117,0.804,-0.2458,6.3732589822241685
Sitagliptin,"Diabetes, Type 2",10,77,0.099,0.035,0.866,0.4574,7.590530973829383
Orsythia,Birth Control,3,8,0.141,0.188,0.671,-0.8164,7.9731161642796256
Etonogestrel,Birth Control,6,3,0.049,0.039,0.912,-0.25,6.383855104378132
Desloratadine,Allergic Rhinitis,1,15,0.0,0.13,0.87,-0.5859,6.71052568386338
Diclofenac,Pain,9,17,0.328,0.089,0.583,0.9161,8.001996457056773
Chaparral,Cance,10,22,0.053,0.145,0.802,-0.8777,8.757200984608478
Venlafaxine,Depression,9,43,0.0,0.0,1.0,0.0,6.8988396488861214
Ziprasidone,Bipolar Disorde,8,15,0.128,0.106,0.766,0.3246,7.633383658619352
Melatonin,Insomnia,10,112,0.136,0.057,0.807,0.4019,6.930491235942826
Implanon,Birth Control,10,5,0.077,0.026,0.898,0.5842,7.170997223562014
Jolessa,2</span> users found this comment helpful.,3,2,0.199,0.06,0.741,0.7269,8.309528553381194
Anastrozole,Breast Cance,2,115,0.0,0.18,0.82,-0.5106,7.457529465305883
Azithromycin,Bacterial Endocarditis Prevention,1,1,0.042,0.321,0.637,-0.9461,4.319273404069607
Colesevelam,"Diarrhea, Chronic",10,4,0.092,0.111,0.797,-0.5916,8.358950719271757
